Ticker,Index,Announced,Trade Date,Action
DNMR_x,Russell 2000,2024-06-07,2024-06-11,Delete
DOOR,MSCI SC,2024-05-15,2024-05-17,Delete
ALPN,MSCI SC,2024-05-15,2024-05-17,Delete
SP,MSCI SC,2024-05-15,2024-05-17,Delete
TAST,Russell 2000,2024-05-09,2024-05-15,Delete
SP,Russell 2000,2024-05-14,2024-05-15,Delete
PXD,SP500,2024-05-03,2024-05-07,Delete
DNMR.,Russell 2000,2024-05-07,2024-05-09,Add
MACK,Russell 2000,2024-05-10,2024-05-14,Delete
PXD,Russell 1000,2024-04-30,2024-05-03,Delete
AGTI,MSCI SC,2024-05-02,2024-05-06,Delete
PXD,MSCI Std,2024-05-02,2024-05-06,Delete
AGTI,SP600,2024-04-30,2024-05-06,Delete
AGTI,Russell 2000,2024-04-30,2024-05-06,Delete
AEL,SP600,2024-05-01,2024-05-03,Delete
AEL,MSCI SC,2024-04-30,2024-05-02,Delete
AEL,Russell 2000,2024-04-30,2024-05-02,Delete
SMMF,Russell 2000,2024-04-26,2024-05-02,Delete
KAMN,MSCI SC,2024-04-18,2024-04-22,Delete
KAMN,SP600,2024-04-18,2024-04-22,Delete
MDC,Russell 2000,2024-04-17,2024-04-18,Delete
EGLE,MSCI SC,2024-04-04,2024-04-08,Delete
MDC,SP600,2024-04-17,2024-04-19,Delete
EGLE,Russell 2000,2024-04-02,2024-04-08,Delete
GEV-W,MSCI Std,2024-03-27,2024-04-02,Add
SOLV-W,MSCI Std,2024-03-26,2024-04-01,Add
GEV-W,SP500,2024-03-27,2024-04-01,Add
SOLV-W,SP500,2024-03-27,2024-03-28,Add
GEV-W,Russell 1000,2024-03-27,2024-04-01,Add
DSKE,Russell 2000,2024-03-27,2024-04-01,Delete
CPE,MSCI SC,2024-03-26,2024-03-28,Delete
PGTI,SP600,2024-03-26,2024-03-28,Delete
SOLV-W,Russell 1000,2024-03-26,2024-03-28,Add
PGTI,Russell 2000,2024-03-25,2024-03-27,Delete
CPE,Russell 2000,2024-03-25,2024-03-28,Delete
