Index Change,Ticker,Announced,Trade Date,Action,Last Px,Sector,Shs to Trade,$MM to Trade,ADV to Trade,Comments,Unnamed: 11
Nasdaq 100,FISV US,2023-05-30,2023-06-06,Delete,112.96,Financials,-10018340,-1131.7,-3.53,Deletion due to listing change to NYSE,
Nasdaq 100,GEHC US,2023-05-30,2023-06-06,Add,77.96,Health Care,7251903,565.4,3.46,Replaces FISV in the Nasdaq 100,
SP600,RC US,2023-05-30,2023-06-01,Upweight,10.25,Financials,8755540,89.7,6.72,RC acq BRMK for 0.47233 RC per BRMK held. Deal has closed.,
MSCI SC,KNF-W US,2023-05-26,2023-06-01,Add,37.68,Industrials,-,-,-,MDU to spin off KNF. MDU shareholders to receive 0.25 KNF per MDU held,
SP400,BOH US,2023-05-25,2023-06-01,SP400 to SP600,39.55,Financials,-4372041,-172.9,-3.69,Moved to SP600,
SP600,BOH US,2023-05-25,2023-06-01,SP400 to SP600,39.55,Financials,5390608,213.2,4.55,Moved from SP400,
SP600,HMST US,2023-05-25,2023-06-01,Delete,6.16,Financials,-2480414,-15.3,-4.75,Discretionary Drop,
Russell 2000,MNTV US,2023-05-26,2023-05-31,Delete,9.44,Information Technology,-18056365,-170.5,-11.26,Acq for $9.46 per share in cash,
Russell 1000,KNF-W US,2023-05-26,2023-05-31,Add,37.68,Industrials,-,-,-,MDU to spin off KNF. MDU shareholders to receive 0.25 KNF per MDU held,
SP400,KNF-W US,2023-05-25,2023-05-31,Add,39.4,Industrials,-,-,-,MDU to spin off KNF. MDU shareholders to receive 0.25 KNF per MDU held,
SP600,HNI US,2023-05-25,2023-05-31,Upweight,26,Industrials,657337,17.1,3.03,HNI acq KBAL for $9.00 and 0.1301 HNI per KBAL held,
Russell 2000,HNI US,2023-05-25,2023-05-31,Upweight,26,Industrials,-,-,-,HNI acq KBAL for $9.00 and 0.1301 HNI per KBAL held,
Russell 2000,KBAL US,2023-05-25,2023-05-31,Delete,12.37,Industrials,-,-,-,HNI acq KBAL for $9.00 and 0.1301 HNI per KBAL held,
MSCI SC,BRMK US,2023-05-25,2023-05-31,Delete,4.83,Financials,-,-,-,RC acq for 0.4723 shares of RC per BRMK held,
